KWK,GPG
INL001,GPGKST0130
INL002,GPGKGM029
INL003,GPGKST0828
INL004,GPGKST0909
INL005,GPGKST0391
INL006,GPGKST0391
INL008,GPGKST0017
INL010,GPGKST6521
INL011,GPGKGM093
INL013,GPGKST0665
INL014,GPGKST0141
INL017,GPGKST6519
INL018,GPGKST0440
INL020,GPGKST0266
INL021,GPGKST0019
INL022,GPGKST0025
INL023,GPGKGM053
INL024,GPGKST0416
INL025,GPGKGM147
INL026,GPGKST0190
INL027,GPGKST0157
INL028,GPGKST0456
INL029,GPGKST0687
INL030,GPGKGM001
INL036,GPGKGM077
INL038,GPGKST0108
INL039,GPGKST0313
INL040,GPGKST1012
INL041,GPGKST0455
INL042,GPGKST0314
INL048,GPGKST0212
INL049,GPGKST0182
INL050,GPGKST0077
INL052,GPGKST0154
INL053,GPGKST0219
INL054,GPGKST0044
INL055,GPGKST0194
INL058,GPGKST0150
INL059,GPGKST0217
INL060,GPGKST1019
INL067,GPGKGM039
INL068,GPGKST0427
INL069,GPGKST0287
INL071,GPGKST9633
INL072,GPGKST0257
INL075,GPGKST0665
INL076,GPGKGM139
INL080,GPGKST0046
INL081,GPGKST0378
INL082,GPGKST0324
INL084,GPGKST0279
INL086,GPGKST1025
INL087,GPGKST0220
INL088,GPGKST0106
INL089,GPGKST0061
INL092,GPGKST0227
INL093,GPGKGM001
INL094,GPGKST0532
INL095,GPGINL094
INL096,GPGKGM061
INL098,GPGKST0320
INL100,GPGKGM084
INL101,GPGKGM147
INL102,GPGKST0235
INL103,GPGKST0489
INL104,GPGKST0105
INL105,GPGKST0342
INL106,GPGKST0028
INL107,GPGKST0320
INL108,GPGKST0320
INL109,GPGKST0493
INL110,GPGKGM030
INL111,GPGKGM021
INL112,GPGKST0474
INL113,GPGKST0473
INL114,GPGKST0347
INL118,GPGKST0254
INL120,GPGKST0152
INL122,GPGKST0348
INL123,GPGKST0689
INL124,GPGKST0450
INL126,GPGKGM147
INL127,GPGKST0393
INL128,GPGKST0409
INL130,GPGKST1039
INL132,GPGKST0413
INL133,GPGKST0411
INL134,GPGKST0205
INL137,GPGKST0424
INL138,GPGKST0609
INL139,GPGKST0101
INL142,GPGKST0306
INL144,GPGKGM059
INL149,GPGKST0072
INL150,GPGKGM034
INL152,GPGKGM037
INL153,GPGKGM035
INL155,GPGKST0516
INL159,GPGKST0356
INL160,GPGKST0242
INL162,GPGKST0208
INL167,GPGKST0916
INL169,GPGKGM065
INL170,GPGKGM093
INL171,GPGKST6240
INL173,GPGKGM049
INL174,GPGKST0971
INL179,GPGKST0843
INL181,GPGKGM021
INL182,GPGKST0424
INL183,GPGKGM001
INL184,GPGKGM026
INL185,GPGKGM044
INL187,GPGKST0517
INL188,GPGKST0269
INL192,GPGKST0514
INL198,GPGKGM035
INL199,GPGKGM034
INL200,GPGKST0426
INL204,GPGKGM057
INL205,GPGKGM056
INL206,GPGKST0621
INL209,GPGKST0033
INL211,GPGKST0472
INL213,GPGKGM040
INL215,GPGKST0719
INL217,GPGKST0201
INL218,GPGKST0009
INL219,GPGKGM233
INL220,GPGINL120
INL221,GPGKGM043
INL225,GPGKST0174
INL226,GPGKST0372
INL235,GPGKST9002
INL238,GPGKST0398
INL242,GPGKGM024
INL243,GPGKGM147
INL248,GPGKGM132
INL249,GPGKGM133
INL251,GPGKST0099
INL254,GPGKGM181
INL255,GPGKST0543
INL256,GPGKST0183
INL258,GPGKST0363
INL259,GPGKGM053
INL260,GPGKGM048
INL262,GPGKGM052
INL263,GPGKST0257
INL264,GPGKST0257
INL267,GPGKST6409
INL268,GPGKGM166
INL269,GPGKGM137
INL270,GPGKST0514
INL271,GPGKST0694
INL272,GPGKST0568
INL274,GPGKST6517
INL275,GPGKST0577
INL276,GPGKST0518
INL277,GPGKGM080
INL278,GPGKST0287
INL280,GPGKGM099
INL284,GPGKST0257
INL285,GPGKST0705
INL290,GPGKST0698
INL291,GPGKGM071
INL298,GPGKST0409
INL301,GPGKGM058
INL302,GPGKGM058
INL306,GPGKST0314
INL307,GPGKGM058
INL308,GPGKGM052
INL309,GPGKGM047
INL310,GPGKGM026
INL318,GPGKGM078
INL322,GPGKGM021
INL324,GPGKST1023
INL325,GPGKST0031
INL327,GPGKST0383
INL331,GPGKST0722
INL332,GPGKST0725
INL333,GPGKST0728
INL334,GPGKST0726
INL335,GPGKGM155
INL336,GPGKST0591
INL337,GPGKST6525
INL342,GPGKGM063
INL344,GPGKST9041
INL345,GPGKST6169
INL351,GPGKGM016
INL352,GPGKGM073
INL354,GPGKGM155
INL364,GPGKST0018
INL366,GPGKST0893
INL373,GPGKST1007
INL374,GPGKGM095
INL377,GPGKGM063
INL381,GPGKGM071
INL383,GPGKGM022
INL384,GPGKST1010
INL405,GPGKST0103
INL409,GPGKGM001
INL410,GPGKST0391
INL420,GPGKST0539
INL422,GPGKST0888
INL423,GPGKST0889
INL424,GPGKST0333
INL426,GPGKST0615
INL428,GPGKGM266
INL430,GPGKST0604
INL433,GPGKGM233
INL435,GPGKST0650
INL442,GPGKGM030
INL445,GPGKST0603
INL446,GPGKGM233
INL452,GPGKST0979
INL454,GPGKST0069
INL455,GPGKST0542
INL460,GPGKST0996
INL461,GPGKGM239
INL467,GPGKST6520
INL468,GPGKGM288
INL470,GPGKGM132
INL472,GPGKST0069
INL473,GPGKST0263
INL474,GPGKST0167
INL476,GPGKST0167
INL477,GPGKGM001
INL482,GPGKST0167
INL483,GPGKST6540
